exp_name,dataset,group,n_qubits,depth,reupload,entanglement,encoding_rotation,lr,epochs,optimizer,seed,final_train_loss,final_test_loss,final_train_acc,final_test_acc,final_grad_norm,total_time_sec
A_moons_q2_depth1_reup1_chain,moons,A_depth,2,1,1,chain,RY,0.1,120,adam,0,0.7150559052656573,0.6925797276083581,0.65,0.725,0.001893627931062503,166.73895716667175
A_moons_q2_depth1_reup1_chain,moons,A_depth,2,1,1,chain,RY,0.1,120,adam,1,0.7116763988445491,0.687694365456462,0.65,0.725,0.022031459561682985,159.67876529693604
A_moons_q2_depth1_reup1_chain,moons,A_depth,2,1,1,chain,RY,0.1,120,adam,2,0.7144087962356803,0.6915544539797253,0.65,0.725,0.011387039630758626,190.09318494796753
A_moons_q2_depth2_reup1_chain,moons,A_depth,2,2,1,chain,RY,0.1,120,adam,0,0.38690010180178747,0.38773580827306187,0.85625,0.9,0.004086621756488895,295.427410364151
A_moons_q2_depth2_reup1_chain,moons,A_depth,2,2,1,chain,RY,0.1,120,adam,1,0.3869100442577188,0.38855379691946024,0.85625,0.9,0.002983342910605662,272.7467339038849
A_moons_q2_depth2_reup1_chain,moons,A_depth,2,2,1,chain,RY,0.1,120,adam,2,0.3868964484539217,0.3882822813884505,0.85625,0.9,0.0015967267050666964,268.9695575237274
A_moons_q2_depth4_reup1_chain,moons,A_depth,2,4,1,chain,RY,0.1,120,adam,0,0.37440345477508097,0.38630342023512143,0.85,0.875,0.0013607305100034027,497.74243783950806
A_moons_q2_depth4_reup1_chain,moons,A_depth,2,4,1,chain,RY,0.1,120,adam,1,0.37432537147461675,0.3855379705734587,0.85,0.9,0.0014200237947641654,498.4932510852814
A_moons_q2_depth4_reup1_chain,moons,A_depth,2,4,1,chain,RY,0.1,120,adam,2,0.37465977130503664,0.38699995132051956,0.84375,0.85,0.0027631939344906075,492.6809387207031
A_moons_q2_depth8_reup1_chain,moons,A_depth,2,8,1,chain,RY,0.1,120,adam,0,0.374325145265228,0.3855777141181287,0.85,0.9,0.0017205877176810181,949.7672958374023
A_moons_q2_depth8_reup1_chain,moons,A_depth,2,8,1,chain,RY,0.1,120,adam,1,0.3743252941173386,0.38560585617383514,0.85,0.9,0.0012735711552387357,947.7029662132263
A_moons_q2_depth8_reup1_chain,moons,A_depth,2,8,1,chain,RY,0.1,120,adam,2,0.3743260834173628,0.38572319925943155,0.85,0.9,0.001549244075447604,951.2590146064758
B_circles_q1_depth2_reup1_chain,circles,B_reupload,1,2,1,chain,RY,0.1,120,adam,0,0.7857651664031445,0.7533670840429054,0.76875,0.75,0.0014695637469362933,142.22536206245422
B_circles_q1_depth2_reup1_chain,circles,B_reupload,1,2,1,chain,RY,0.1,120,adam,1,0.7857653175338672,0.7534289233843469,0.76875,0.75,0.0018575284758373365,143.87077236175537
B_circles_q1_depth2_reup1_chain,circles,B_reupload,1,2,1,chain,RY,0.1,120,adam,2,0.7857646342197177,0.7534353057245626,0.76875,0.75,0.001994593170098746,142.28008317947388
B_circles_q1_depth2_reup2_chain,circles,B_reupload,1,2,2,chain,RY,0.1,120,adam,0,0.7178162131163518,0.678349266534749,0.74375,0.75,0.0018449195604054462,249.53094291687012
B_circles_q1_depth2_reup2_chain,circles,B_reupload,1,2,2,chain,RY,0.1,120,adam,1,0.7178183276646047,0.6786083464763347,0.74375,0.75,0.003959581943259773,250.13882732391357
B_circles_q1_depth2_reup2_chain,circles,B_reupload,1,2,2,chain,RY,0.1,120,adam,2,0.7178162818209117,0.6783263001005289,0.74375,0.75,0.0017403057858880267,249.48068571090698
B_circles_q1_depth2_reup4_chain,circles,B_reupload,1,2,4,chain,RY,0.1,120,adam,0,0.6685897630466572,0.6765526941270107,0.76875,0.775,0.002197810201629741,462.56436705589294
B_circles_q1_depth2_reup4_chain,circles,B_reupload,1,2,4,chain,RY,0.1,120,adam,1,0.6685786381285725,0.6758922681005195,0.76875,0.775,0.003214152564389812,461.5422568321228
B_circles_q1_depth2_reup4_chain,circles,B_reupload,1,2,4,chain,RY,0.1,120,adam,2,0.6680046630667285,0.6728466482626451,0.775,0.775,0.00344437226539163,463.3415424823761
C_moons_q3_depth2_reup1_chain,moons,C_entanglement,3,2,1,chain,RY,0.1,120,adam,0,0.3870066606327686,0.3862541695066615,0.85625,0.875,0.009972850493201499,394.1640615463257
C_moons_q3_depth2_reup1_chain,moons,C_entanglement,3,2,1,chain,RY,0.1,120,adam,1,0.3869045930792369,0.3884673710965614,0.85625,0.9,0.0023692825313966683,393.93097257614136
C_moons_q3_depth2_reup1_chain,moons,C_entanglement,3,2,1,chain,RY,0.1,120,adam,2,0.38689942224667473,0.3883363976514936,0.85625,0.9,0.0018376511331383589,395.11893105506897
C_moons_q3_depth2_reup1_all,moons,C_entanglement,3,2,1,all,RY,0.1,120,adam,0,0.4113901900822591,0.39964216001863495,0.85625,0.825,0.0015694036917075127,413.18728947639465
C_moons_q3_depth2_reup1_all,moons,C_entanglement,3,2,1,all,RY,0.1,120,adam,1,0.41140169606868093,0.39933520599043054,0.85625,0.825,0.004062941314556851,416.4753499031067
C_moons_q3_depth2_reup1_all,moons,C_entanglement,3,2,1,all,RY,0.1,120,adam,2,0.4114052455470837,0.3996339170123421,0.85625,0.825,0.003915077270675229,416.22400283813477
